package,title,topic,maintainer,url,readme,source,mark
mwe,mwe – Packages and image files for MWEs,debug supp,Martin Scharrer,https://www.ctan.org/pkg/mwe,https://mirrors.ctan.org/macros/latex/contrib/mwe/README,https://github.com/MartinScharrer/mwe,""
nanicolle,nanicolle – Typesetting herbarium specimen labels,"covers,chinese,biology,labels,class,xetex",Yuchang Yang,https://www.ctan.org/pkg/nanicolle,https://mirrors.ctan.org/macros/xetex/latex/nanicolle/README.md,https://github.com/Mikumikunisiteageru/nanicolle,""
natbib,natbib – Flexible bibliography support,bibtex support,"Patrick W. Daly,Arthur Ogawa",https://www.ctan.org/pkg/natbib,https://mirrors.ctan.org/macros/latex/contrib/natbib/README,https://www.ctan.org/tex-archive/macros/latex/contrib/natbib,""
newspaper,newspaper – Typeset newsletters to resemble newspapers,magazine,"David Griffith,Matthew Allen (inactive)",https://www.ctan.org/pkg/newspaper,https://mirrors.ctan.org/macros/latex/contrib/newspaper/README,https://www.ctan.org/tex-archive/macros/latex/contrib/newspaper,""
newtx,"newtx – Alternative uses of the TX fonts, with improved metrics","font support,maths font,font type1,body font,font t1enc,otf font,font,proportional font,font serif",Michael Sharpe,https://www.ctan.org/pkg/newtx,https://mirrors.ctan.org/fonts/newtx/README,https://www.ctan.org/tex-archive/fonts/newtx,""
newtxsf,newtxsf – Sans-math fonts for use with newtx,"font,font type1,maths font,sans font",Michael Sharpe,https://www.ctan.org/pkg/newtxsf,https://mirrors.ctan.org/fonts/newtxsf/README,https://www.ctan.org/tex-archive/fonts/newtxsf,""
newtxtt,newtxtt – Enhancement of typewriter fonts from newtx,"font support,font,monospaced font,font type1,font t1enc",Michael Sharpe,https://www.ctan.org/pkg/newtxtt,https://mirrors.ctan.org/fonts/newtxtt/README,https://www.ctan.org/tex-archive/fonts/newtxtt,""
nicefilelist,nicefilelist – Provide \listfiles alignment,document Management,Uwe Lück (deceased),https://www.ctan.org/pkg/nicefilelist,https://mirrors.ctan.org/macros/latex/contrib/nicefilelist/README,https://www.ctan.org/tex-archive/macros/latex/contrib/nicefilelist,""
nimsticks,nimsticks – Draws sticks for games of multi-pile Nim,"pgf tikz,graphics,games",Peter Rowlett,https://www.ctan.org/pkg/nimsticks,https://mirrors.ctan.org/graphics/pgf/contrib/nimsticks/README.md,https://github.com/prowlett/nimsticks,""
ninecolors,ninecolors – Select colors with proper WCAG color contrast,colour,Jianrui Lyu,https://www.ctan.org/pkg/ninecolors,https://mirrors.ctan.org/macros/latex/contrib/ninecolors/README.txt,https://github.com/lvjr/ninecolors,""
nl-interval,nl-interval – Represent intervals on the number line,"pgf tikz,maths",Antero Neves,https://www.ctan.org/pkg/nl-interval,https://mirrors.ctan.org/graphics/pgf/contrib/nl-interval/README.txt,https://www.ctan.org/tex-archive/graphics/pgf/contrib/nl-interval,""
nmbib,"nmbib – Multiple versions of a bibliography, with different sort orders",bibtex support,Boris Veytsman,https://www.ctan.org/pkg/nmbib,https://mirrors.ctan.org/macros/latex/contrib/nmbib/README,https://www.ctan.org/tex-archive/macros/latex/contrib/nmbib,""
nndraw,nndraw – Draw neural networks,diagrams,Carlos Cardoso Dias,https://www.ctan.org/pkg/nndraw,https://mirrors.ctan.org/graphics/pgf/contrib/nndraw/README,https://github.com/carloscdias/nndraw,""
nodepthtext,nodepthtext – Change small texts to remove the depth of the letters,"font support,typesetting",Cédric Pierquet,https://www.ctan.org/pkg/nodepthtext,https://mirrors.ctan.org/macros/latex/contrib/nodepthtext/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/nodepthtext,""
nodetree,nodetree – Visualize node lists in a tree view,lua supp,Josef Friedrich,https://www.ctan.org/pkg/nodetree,https://mirrors.ctan.org/macros/luatex/generic/nodetree/README.md,https://github.com/Josef-Friedrich/nodetree,""
novel,"novel – Class for printing fiction, such as novels","class,book publication,production,luatex",Robert Allgeyer,https://www.ctan.org/pkg/novel,https://mirrors.ctan.org/macros/luatex/latex/novel/README.md,https://www.ctan.org/tex-archive/macros/luatex/latex/novel,later
nox,nox – Adaptable tables,"table long,table","Matthias Borck-Elsner,Rainer Schöpf",https://www.ctan.org/pkg/nox,https://mirrors.ctan.org/macros/latex/contrib/nox/README,https://www.ctan.org/tex-archive/macros/latex/contrib/nox,""
numname,numname – Convert a number to its English expression,numbers,S Joshua Swamidass,https://www.ctan.org/pkg/numname,https://mirrors.ctan.org/macros/latex/contrib/numname/README,https://www.ctan.org/tex-archive/macros/latex/contrib/numname,""
oplotsymbl,oPlotSymbl – Some symbols which are not easily available,"pgf tikz,graphics symbols",B. Michel Döhring,https://www.ctan.org/pkg/oplotsymbl,https://mirrors.ctan.org/macros/latex/contrib/oplotsymbl/README.md,https://github.com/micheld93/oPlotSymbl-LaTeX,later
ocg-p,ocg-p – PDF OCG support in LaTeX,pdf features,Moshammer Werner,https://www.ctan.org/pkg/ocg-p,https://mirrors.ctan.org/macros/latex/contrib/ocg-p/README,https://www.ctan.org/tex-archive/macros/latex/contrib/ocg-p,""
