package,title,topic,maintainer,url,readme,source,mark
spath3,spath3 – Manipulate “soft paths” in PGF,"curve graphics,pgf tikz",Andrew Stacey,https://www.ctan.org/pkg/spath3,https://mirrors.ctan.org/graphics/pgf/contrib/spath3/README.txt,https://github.com/loopspace/spath3,""
spbmark,spbmark – Customize superscripts and subscripts,subsup position,Qu Yi,https://www.ctan.org/pkg/spbmark,https://mirrors.ctan.org/macros/latex/contrib/spbmark/README.md,https://github.com/texno3/spbmark,""
spectralsequences,spectralsequences – Print spectral sequence diagrams using PGF/TikZ,pgf tikz,Hood Chatham,https://www.ctan.org/pkg/spectralsequences,https://mirrors.ctan.org/graphics/pgf/contrib/spectralsequences/README.md,https://github.com/SpectralSequences/latex,""
spelling,spelling – Support for spell-checking of LuaTeX documents,"spell,luatex",Stephan Hennig,https://www.ctan.org/pkg/spelling,https://mirrors.ctan.org/macros/luatex/generic/spelling/README,https://www.ctan.org/tex-archive/macros/luatex/generic/spelling,""
spot,spot – Spotlight highlighting for Beamer,presentation,Anders O. F. Hendrickson,https://www.ctan.org/pkg/spot,https://mirrors.ctan.org/macros/latex/contrib/beamer-contrib/spot/README,https://www.ctan.org/tex-archive/macros/latex/contrib/beamer-contrib/spot,""
spreadtab,spreadtab – Spreadsheet features for LaTeX tabular environments,table,Christian Tellechea,https://www.ctan.org/pkg/spreadtab,https://mirrors.ctan.org/macros/latex/contrib/spreadtab/README,https://www.ctan.org/tex-archive/macros/latex/contrib/spreadtab,""
spverbatim,spverbatim – Allow line breaks within \verb and verbatim output,verbatim,Scott Pakin,https://www.ctan.org/pkg/spverbatim,https://mirrors.ctan.org/macros/latex/contrib/spverbatim/README,https://www.ctan.org/tex-archive/macros/latex/contrib/spverbatim,""
sseq,sseq – Typesetting spectral sequence charts,maths,Tilman Bauer,https://www.ctan.org/pkg/sseq,\,https://www.ctan.org/tex-archive/macros/latex/contrib/sseq,""
stackengine,"stackengine – Highly customised stacking of objects, insets, baseline changes, etc",macro support,Steven B. Segletes,https://www.ctan.org/pkg/stackengine,https://mirrors.ctan.org/macros/latex/contrib/stackengine/README,https://www.ctan.org/tex-archive/macros/latex/contrib/stackengine,later
stage,stage – A LaTeX class for stage plays,"class,drama script","Reuben Thomas,Robert Jahrling (inactive)",https://www.ctan.org/pkg/stage,https://mirrors.ctan.org/macros/latex/contrib/stage/README,https://github.com/rrthomas/stage,later
standalone,standalone – Compile TeX pictures stand-alone or as part of a document,"class,subdocs",Martin Scharrer,https://www.ctan.org/pkg/standalone,https://mirrors.ctan.org/macros/latex/contrib/standalone/README,https://github.com/MartinScharrer/standalone,""
stanli,stanli – TikZ Library for Structural Analysis,"pgf tikz,engineering",Jürgen Hackl,https://www.ctan.org/pkg/stanli,https://mirrors.ctan.org/graphics/pgf/contrib/stanli/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/stanli,""
starfont ,starfont – The StarFont Sans astrological font,"font specialist,font,astrology,font ttf",Matthew Skala,https://www.ctan.org/pkg/starfont,https://mirrors.ctan.org/fonts/ps-type1/starfont/README,https://www.ctan.org/tex-archive/fonts/ps-type1/starfont,""
statistics,statistics – Compute and typeset statistics tables and graphics,"statistics,maths",Julien Rivaud,https://www.ctan.org/pkg/statistics,https://mirrors.ctan.org/macros/latex/contrib/statistics/README.md,https://gitlab.com/frnchfrgg-latex/statistics,""
stix2-otf,stix2-otf – OpenType Unicode text and maths fonts,"otf font,font collection,nonroman font,font serif,body font,font symbol,maths font,font,font symbol maths","David M. Jones,The STI Pub Companies",https://www.stixfonts.org/,https://mirrors.ctan.org/fonts/stix2-otf/README.md,https://github.com/stipub/stixfonts,""
strands,strands – Draw objects constructed from strands,"graphics,pgf tikz",Diego Arcis,https://www.ctan.org/pkg/strands,https://mirrors.ctan.org/graphics/pgf/contrib/strands/README.md,https://github.com/arcisd/Strands-Package,""
pstring,string – Typeset sequences with justification pointers,scientific docs,William Blum,https://www.ctan.org/pkg/pstring,https://mirrors.ctan.org/macros/latex/contrib/pstring/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/pstring,""
string-diagrams,string-diagrams – Create string diagrams with LaTeX and TikZ,"pgf tikz,maths,diagrams,graphics",Paolo Brasolin,https://www.ctan.org/pkg/string-diagrams,https://mirrors.ctan.org/graphics/pgf/contrib/string-diagrams/README.md,https://github.com/paolobrasolin/string-diagrams,""
structmech,structmech – A TikZ command set for structural mechanics drawings,"pgf tikz,physics",Theodore Chang,https://www.ctan.org/pkg/structmech,https://mirrors.ctan.org/graphics/pgf/contrib/structmech/README.md,https://github.com/TLCFEM/structmech,""
stubs,stubs – Create tear-off stubs at the bottom of a page,advertisements,Norbert Stuhrmann,https://www.ctan.org/pkg/stubs,https://mirrors.ctan.org/macros/latex/contrib/stubs/README,https://www.ctan.org/tex-archive/macros/latex/contrib/stubs,""
suanpan-l3,suanpan-l3 – Traditional Chinese 7-bids suanpan (abacus) package based on l3draw,diagrams,Nan Geng,https://www.ctan.org/pkg/suanpan-l3,https://mirrors.ctan.org/macros/latex/contrib/suanpan-l3/README.md,https://gitee.com/nwafu_nan/suan-pan,""
subcaption,subcaption – Support for sub-captions,caption,Axel Sommerfeldt,https://www.ctan.org/pkg/subcaption,https://mirrors.ctan.org/macros/latex/contrib/caption/README,https://www.ctan.org/tex-archive/macros/latex/contrib/caption,""
subeqnarray,subeqnarray – Equation array with sub numbering,maths system equations,Johannes L. Braams,https://www.ctan.org/pkg/subeqnarray,https://mirrors.ctan.org/macros/latex/contrib/subeqnarray/README,https://www.ctan.org/tex-archive/macros/latex/contrib/subeqnarray,""
subfiles,subfiles – Individual typesetting of subfiles of a “main” document,"class,subdocs","Federico Garcia-De Castro,Gernot Salzer",https://www.ctan.org/pkg/subfiles,https://mirrors.ctan.org/macros/latex/contrib/subfiles/README,https://github.com/gsalzer/subfiles,""
subfloat,subfloat – Sub-numbering for figures and tables,subfloat,Harald Harders (inactive),https://www.ctan.org/pkg/subfloat,https://mirrors.ctan.org/macros/latex/contrib/subfloat/README,https://www.ctan.org/tex-archive/macros/latex/contrib/subfloat,""
subsupscripts,subsupscripts – A range of sub- and superscript commands,"subsup position,maths,physics",Riccardo Bresciani,https://www.ctan.org/pkg/subsupscripts,https://mirrors.ctan.org/macros/latex/contrib/subsupscripts/README,https://www.ctan.org/tex-archive/macros/latex/contrib/subsupscripts,""
sudoku,sudoku – Create sudoku grids,games,Paul Abraham,https://www.ctan.org/pkg/sudoku,https://mirrors.ctan.org/macros/latex/contrib/sudoku/README,https://www.ctan.org/tex-archive/macros/latex/contrib/sudoku,later
suftesi,"suftesi – A document class for typesetting theses, books and articles","book publication,class,dissertation",Ivan Valbusa,https://www.ctan.org/pkg/suftesi,https://mirrors.ctan.org/macros/latex/contrib/suftesi/README,https://www.ctan.org/tex-archive/macros/latex/contrib/suftesi,later
sunpath,sunpath – Draw sun path charts,"pgf tikz,graphics,physics,astronomy",Hồng-Phúc Bùi,https://www.ctan.org/pkg/sunpath,https://mirrors.ctan.org/graphics/pgf/contrib/sunpath/README.md,https://github.com/hpb-htw/sunpath,""
supertabular,supertabular – A multi-page tables package,"table,table long",Johannes L. Braams,https://www.ctan.org/pkg/supertabular,https://mirrors.ctan.org/macros/latex/contrib/supertabular/README,https://www.ctan.org/tex-archive/macros/latex/contrib/supertabular,""
svg,svg – Include and extract SVG pictures in LaTeX documents,"graphics,graphics import,graphics include","Falk Hanisch,Philip Ilten (inactive)",https://www.ctan.org/pkg/svg,https://mirrors.ctan.org/graphics/svg/README.md,https://github.com/mrpiggi/svg,""
svg-inkscape,svg-inkscape – How to include an SVG image in LaTeX using Inkscape,graphics prep,Johan B. C. Engelen,https://www.ctan.org/pkg/svg-inkscape,https://mirrors.ctan.org/info/svg-inkscape/README,https://www.ctan.org/tex-archive/info/svg-inkscape,""
swfigure,swfigure – Insert large images that do not fit into a single page,graphics include,Claudio Beccari,https://www.ctan.org/pkg/swfigure,https://mirrors.ctan.org/macros/latex/contrib/swfigure/README.txt,https://www.ctan.org/tex-archive/macros/latex/contrib/swfigure,""
swungdash,swungdash – Typeset a swung dash in LaTeX,typesetting,Elijah Z Granet,https://www.ctan.org/pkg/swungdash,https://mirrors.ctan.org/macros/unicodetex/latex/swungdash/README,https://github.com/ezgranet/swungdash,""
syllogism,syllogism – Typeset syllogisms in LaTeX,logic,Nicolas Vaughan,https://www.ctan.org/pkg/syllogism,https://mirrors.ctan.org/macros/latex/contrib/syllogism/README,https://www.ctan.org/tex-archive/macros/latex/contrib/syllogism,""
syngen,syngen – A tool for generating syntax diagrams from BNF,"syntax,diagrams",Jens Klöcker,https://www.ctan.org/pkg/syngen,https://mirrors.ctan.org/support/syngen/README,https://www.ctan.org/tex-archive/support/syngen,""
synproof,synproof – Easy drawing of syntactic proofs,"linguistic,logic","Yuri Robbers,Paul Isambert (inactive)",https://www.ctan.org/pkg/synproof,https://mirrors.ctan.org/macros/latex/contrib/synproof/README,https://www.ctan.org/tex-archive/macros/latex/contrib/synproof,""
syntaxdi,syntaxdi – Create “railroad” syntax diagrams,"flow diagrams,diagrams,pgf tikz,graphics","André Hilbig,Johannes Kuhaupt,Johannes Pieper",https://www.ctan.org/pkg/syntaxdi,https://mirrors.ctan.org/graphics/pgf/contrib/syntaxdi/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/syntaxdi,""
synthslant,synthslant – Synthetically slant text,"font support,font use",Chris Spiel,https://www.ctan.org/pkg/synthslant,https://mirrors.ctan.org/macros/latex/contrib/synthslant/README.md,https://github.com/cspiel/synthslant,""
synttree,synttree – Typeset syntactic trees,"linguistic,tree",Matijs van Zuijlen,https://www.ctan.org/pkg/synttree,https://mirrors.ctan.org/macros/latex/contrib/synttree/README,https://www.ctan.org/tex-archive/macros/latex/contrib/synttree,""
systeme,systeme – Format systems of equations,"simplified,maths system equations,maths",Christian Tellechea,https://www.ctan.org/pkg/systeme,https://mirrors.ctan.org/macros/generic/systeme/README,https://www.ctan.org/tex-archive/macros/generic/systeme,""
t-angles,"t-angles – Draw tangles, trees, Hopf algebra operations and other pictures","maths,graphics in tex","Yurii Bespalov,Volodymyr Lyubashenko",https://www.ctan.org/pkg/t-angles,https://mirrors.ctan.org/macros/latex/contrib/t-angles/README,https://www.ctan.org/tex-archive/macros/latex/contrib/t-angles,""
tab4tex,tab4tex – Preprocessor for LaTeX tabular environments,"foreign import,table",Guido Milanese,https://www.ctan.org/pkg/tab4tex,https://mirrors.ctan.org/support/tab4tex/README,https://www.ctan.org/tex-archive/support/tab4tex,""
tablefootnote,tablefootnote – Permit footnotes in tables,"footnote,table",Hans-Martin Münch,https://www.ctan.org/pkg/tablefootnote,https://mirrors.ctan.org/macros/latex/contrib/tablefootnote/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tablefootnote,""
tableof,tableof – Tagging tables of contents,toc etc,Jean-François Burnol,https://www.ctan.org/pkg/tableof,https://mirrors.ctan.org/macros/latex/contrib/tableof/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/tableof,""
tablists,tablists – Tabulated lists of short items,list enumumerate,Olga Lapko,https://www.ctan.org/pkg/tablists,https://mirrors.ctan.org/macros/latex/contrib/tablists/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tablists,""
tablvar,tablvar – Typesetting pretty tables of signs and variations according to French usage,"maths,french,maths tabvar",Antoine Missier,https://www.ctan.org/pkg/tablvar,https://mirrors.ctan.org/macros/latex/contrib/tablvar/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/tablvar,""
tabto-ltx,tabto-ltx – “Tab” to a measured position in the line,layout,Donald Arseneau,https://www.ctan.org/pkg/tabto-ltx,https://mirrors.ctan.org/macros/latex/contrib/tabto/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tabto,""
tabu,tabu – Flexible LaTeX tabulars,"table,table long",Florent Chervet (inactive),https://www.ctan.org/pkg/tabu,https://mirrors.ctan.org/macros/latex/contrib/tabu/README.md,https://github.com/tabu-issues-for-future-maintainer/tabu,""
tabularborder,tabularborder – Remove excess space at left and right of tabular,table,Johannes K. Fink,https://www.ctan.org/pkg/tabularborder,\,https://www.ctan.org/tex-archive/macros/latex/contrib/tabularborder,""
tabularcalc,tabularcalc – Calculate formulas in a tabular environment,table,Christian Tellechea,https://www.ctan.org/pkg/tabularcalc,https://mirrors.ctan.org/macros/latex/contrib/tabularcalc/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tabularcalc,""
tabularew,tabularew – A variation on the tabular environment,table,Diego Saba,https://www.ctan.org/pkg/tabularew,https://mirrors.ctan.org/macros/latex/contrib/tabularew/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tabularew,""
tabularht,tabularht – Tabular environments with height specified,tabularht,Heiko Oberdiek,https://www.ctan.org/pkg/tabularht,\,https://www.ctan.org/tex-archive/macros/latex/contrib/oberdiek/tabularht.dtx,""
tabularray,tabularray – Typeset tabulars and arrays with LaTeX3,"table,table long",Jianrui Lyu,https://www.ctan.org/pkg/tabularray,https://mirrors.ctan.org/macros/latex/contrib/tabularray/README.txt,https://github.com/lvjr/tabularray,later
tabularx,tabularx – Tabulars with adjustable-width columns,table,"David Carlisle,The LaTeX Project Team",https://www.ctan.org/pkg/tabularx,https://mirrors.ctan.org/macros/latex/required/tools/README.md,https://www.ctan.org/tex-archive/macros/latex/required/tools,""
tabulary,tabulary – Tabular with variable width columns balanced,table,David Carlisle,https://www.ctan.org/pkg/tabulary,https://mirrors.ctan.org/macros/latex/contrib/tabulary/README.txt,https://github.com/davidcarlisle/dpctex,""
tagging,tagging – Document configuration with tags,conditional compilation,"The LaTeX Project Team,Brent Longborough (deceased)",https://www.ctan.org/pkg/tagging,https://mirrors.ctan.org/macros/latex/contrib/tagging/README,https://github.com/Hightor/tagging,""
tagpair,"tagpair – Word-by-word glosses, translations, and bibliographic attributions",text layout,Andreas Nolda,https://www.ctan.org/pkg/tagpair,https://mirrors.ctan.org/macros/latex/contrib/tagpair/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tagpair,""
talk,talk – A LaTeX class for presentations,presentation,Martin Wiebusch,https://www.ctan.org/pkg/talk,https://mirrors.ctan.org/macros/latex/contrib/talk/README,https://www.ctan.org/tex-archive/macros/latex/contrib/talk,""
tasks,tasks – Horizontally columned lists,"list enumumerate,list",Clemens Niederberger,https://www.ctan.org/pkg/tasks,https://mirrors.ctan.org/macros/latex/contrib/tasks/README,https://github.com/cgnieder/tasks/,""
tblr-extras,tblr-extras – Extra libraries for tabularray for caption and babel compatibility,"table long,table",Manuel Merino,https://www.ctan.org/pkg/tblr-extras,https://mirrors.ctan.org/macros/latex/contrib/tblr-extras/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/tblr-extrashttps://github.com/mmerino25/tblr-extras,""
tcolorbox,"tcolorbox – Coloured boxes, for LaTeX examples and theorems, etc","box breaking,boxing,verbatim,listing,colour,macro demonstration",Thomas F. Sturm,https://www.ctan.org/pkg/tcolorbox,https://mirrors.ctan.org/macros/latex/contrib/tcolorbox/README.md,https://github.com/T-F-S/tcolorbox,""
tdclock,tdclock – A ticking digital clock package for PDF output,date time,Luis Randez,https://www.ctan.org/pkg/tdclock,https://mirrors.ctan.org/macros/latex/contrib/tdclock/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tdclock,""
technics,technics – A package to format technical documents,document template,Joachim Nilsson,https://www.ctan.org/pkg/technics,\,https://www.ctan.org/tex-archive/macros/latex/contrib/technics,""
ted,ted – A (primitive) token list editor,debug supp,Manuel Pégourié-Gonnard,https://www.ctan.org/pkg/ted,https://mirrors.ctan.org/macros/latex/contrib/ted/README,https://www.ctan.org/tex-archive/macros/latex/contrib/ted,""
temporal-logic,temporal-logic – Symbols for Temporal Logics,"logic,text symbol,symbol support",Dominik Schmid,https://www.ctan.org/pkg/temporal-logic,https://mirrors.ctan.org/macros/latex/contrib/temporal-logic/README.md,https://github.com/tudo-aqua/temporal-logic-latex-package/,""
tensor,tensor – Typeset tensors,"maths,subsup position","Philip G. Ratcliffe,Mike Piff (inactive)",https://www.ctan.org/pkg/tensor,https://mirrors.ctan.org/macros/latex/contrib/tensor/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/tensor,""
termcal,termcal – Print a class calendar,calendar,Bill Mitchell,https://www.ctan.org/pkg/termcal,https://mirrors.ctan.org/macros/latex/contrib/termcal/README,https://www.ctan.org/tex-archive/macros/latex/contrib/termcal,""
termes-otf,termes-otf – Using the OpenType fonts TeX Gyre Termes,"maths font,otf font,font,luatex,xetex",Herbert Voß,https://www.ctan.org/pkg/termes-otf,https://mirrors.ctan.org/fonts/termes-otf/README.md,https://www.ctan.org/tex-archive/fonts/termes-otf,""
termsim,"termsim – Simulate Win10, Ubuntu, and Mac terminals","computer science,boxing,listing",Nan Geng,https://www.ctan.org/pkg/termsim,https://mirrors.ctan.org/macros/latex/contrib/termsim/README.md,https://github.com/registor/termsim,""
testidx,testidx – Dummy text for testing index styles and indexing applications,"dummy generator,index",Nicola Talbot,https://www.ctan.org/pkg/testidx,https://mirrors.ctan.org/macros/latex/contrib/testidx/README,https://www.ctan.org/tex-archive/macros/latex/contrib/testidx,""
tex-gyre,tex-gyre – TeX Fonts extending freely available URW fonts,"font,otf font,font type1,proportional font,font collection,font serif,sans font","Bogusław Jackowski,Janusz Marian Nowacki (deceased)",https://www.ctan.org/pkg/tex-gyre,https://mirrors.ctan.org/fonts/tex-gyre/README.txt,https://www.ctan.org/tex-archive/fonts/tex-gyre,""
tex-label,tex-label – Place a classification on each page of a document,security,Balagopal Komarath,https://www.ctan.org/pkg/tex-label,https://mirrors.ctan.org/macros/latex/contrib/tex-label/README,https://www.ctan.org/tex-archive/macros/latex/contrib/tex-label,""
tex-locale,tex-locale – Localisation support for TeX and LaTeX documents,"sys supp,environment query",Nicola Talbot,https://www.ctan.org/pkg/tex-locale,https://mirrors.ctan.org/macros/generic/tex-locale/README,https://www.ctan.org/tex-archive/macros/generic/tex-locale,""
tex2page,tex2page – Produce HTML from TeX/LaTeX,convert html,Dorai Sitaram,https://www.ctan.org/pkg/tex2page,\,https://github.com/ds26gte/tex2page,later
tex4ebook,tex4ebook – Converter from LaTeX to ebook formats,e-book,Michal Hoftich,https://www.ctan.org/pkg/tex4ebook,https://mirrors.ctan.org/support/tex4ebook/README,https://github.com/michal-h21/tex4ebook,later
texapi,texapi – Macros to write format-independent packages,"macro support,e-tex","Yuri Robbers,Paul Isambert (inactive)",https://www.ctan.org/pkg/texapi,https://mirrors.ctan.org/macros/generic/texapi/README,https://www.ctan.org/tex-archive/macros/generic/texapi,""
texdate,"texdate – Date printing, formatting, and manipulation in TeX",date time,Donald P. Goodman,https://www.ctan.org/pkg/texdate,https://mirrors.ctan.org/macros/generic/texdate/README,https://www.ctan.org/tex-archive/macros/generic/texdate,""
texdimens,texdimens – Conversion of TeX dimensions to decimals,"units,e-tex",Jean-François Burnol,https://www.ctan.org/pkg/texdimens,https://mirrors.ctan.org/macros/generic/texdimens/README.md,https://github.com/jfbu/texdimens,""
texdraw,"texdraw – Graphical macros, using embedded PostScript",graphics in tex,Peter Kabal,https://www.ctan.org/pkg/texdraw,https://mirrors.ctan.org/graphics/texdraw/README,https://www.ctan.org/tex-archive/graphics/texdraw,""
texshade,texshade – Package for setting nucleotide and peptide alignments,"chemistry,mol bio",Eric Beitz,https://www.pharmazie.uni-kiel.de/en/pharmceitica/prof-dr-eric-beitz/biotex,https://mirrors.ctan.org/macros/latex/contrib/texshade/README,https://www.ctan.org/tex-archive/macros/latex/contrib/texshade,later
textcsc,textcsc – Simple commands for caps-to-small-caps text,"typesetting,unicode",Elijah Z Granet,https://www.ctan.org/pkg/textcsc,https://mirrors.ctan.org/macros/unicodetex/latex/textcsc/README,https://github.com/ezgranet/textcsc,""
textopo,textopo – Annotated membrane protein topology plots,"chemistry,mol bio",Eric Beitz,https://www.ctan.org/pkg/textopo,\,https://www.ctan.org/tex-archive/macros/latex/contrib/textopo,""
textpath,textpath – Setting text along a path with METAPOST,graphics text,Stephan Hennig,https://www.ctan.org/pkg/textpath,https://mirrors.ctan.org/graphics/metapost/contrib/macros/textpath/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/textpath,""
textpos,textpos – Place boxes at arbitrary positions on the LaTeX page,layout,Norman Gray,https://purl.org/nxg/dist/textpos,https://mirrors.ctan.org/macros/latex/contrib/textpos/README,https://www.ctan.org/tex-archive/macros/latex/contrib/textpos,later
thalie,thalie – Typeset drama plays,drama script,Louis Paternault,https://www.ctan.org/pkg/thalie,https://mirrors.ctan.org/macros/latex/contrib/thalie/README.md,https://framagit.org/spalax/thalie,later
theatre,theatre – A sophisticated package for typesetting stage plays,drama script,Christian Hinque,https://christian.hinque.fr/wp/latex/,https://mirrors.ctan.org/macros/latex/contrib/theatre/README,https://www.ctan.org/tex-archive/macros/latex/contrib/theatre,later
thematicpuzzle,thematicpuzzle – Horizontal banners in a puzzle style ,symbol support,Cédric Pierquet,https://www.ctan.org/pkg/thematicpuzzle,https://mirrors.ctan.org/graphics/pgf/contrib/thematicpuzzle/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/thematicpuzzle,""
thermodynamics,thermodynamics – Macros for multicomponent thermodynamics documents,"chemistry,physics",Karl D. Hammond,https://www.ctan.org/pkg/thermodynamics,https://mirrors.ctan.org/macros/latex/contrib/thermodynamics/README.md,https://www.ctan.org/tex-archive/macros/latex/contrib/thermodynamics,""
thmbox,thmbox – Decorate theorem statements,"decoration,maths theorem",Emmanuel Beffara,https://www.ctan.org/pkg/thmbox,https://mirrors.ctan.org/macros/latex/contrib/thmbox/README,https://www.ctan.org/tex-archive/macros/latex/contrib/thmbox,""
thmlist,thmlist – A LaTeX package for adding theorem environments quickly,"maths theorem,obsolete,maths",Mingyu Xia,https://www.ctan.org/pkg/thmlist,https://mirrors.ctan.org/obsolete/macros/latex/contrib/thmlist/README.md,https://github.com/xiamyphys/thmlist,""
thmtools,thmtools – Extensions to theorem environments,"maths,maths theorem","Yukai Chou,Ulrich M. Schwarz (inactive)",https://www.ctan.org/pkg/thmtools,https://mirrors.ctan.org/macros/latex/contrib/thmtools/README.md,https://github.com/muzimuzhi/thmtools,""
threed,threed – 3D animations,"metapost use,3d graphics",Denis B. Roegel,https://www.ctan.org/pkg/mp3d,https://mirrors.ctan.org/graphics/metapost/contrib/macros/mp3d/README,https://www.ctan.org/tex-archive/graphics/metapost/contrib/macros/threeddice,later
threeparttablex,threeparttablex – Notes in longtables,"table,notes",Lars Madsen,https://www.ctan.org/pkg/threeparttablex,https://mirrors.ctan.org/macros/latex/contrib/threeparttablex/README,https://www.ctan.org/tex-archive/macros/latex/contrib/threeparttablex,""
thumb,thumb – Thumb marks in documents,layout page,Christian Holm Christensen,https://www.ctan.org/pkg/thumb,https://mirrors.ctan.org/macros/latex/contrib/thumb/README,https://www.ctan.org/tex-archive/macros/latex/contrib/thumb,""
thumbs,thumbs – Create thumb indexes,layout page,Hans-Martin Münch,https://www.ctan.org/pkg/thumbs,https://mirrors.ctan.org/macros/latex/contrib/thumbs/README,https://www.ctan.org/tex-archive/macros/latex/contrib/thumbs,""
thumby,thumby – Create thumb indexes for printed books,layout page,Sergey Goldgaber,https://www.ctan.org/pkg/thumby,https://mirrors.ctan.org/macros/latex/contrib/thumby/README,https://www.ctan.org/tex-archive/macros/latex/contrib/thumby,""
ticollege,ticollege – Graphical representation of keys on a standard scientific calculator,"pgf tikz,documentation support",Philippe De Sousa,https://www.ctan.org/pkg/ticollege,https://mirrors.ctan.org/graphics/pgf/contrib/ticollege/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/ticollege,""
tiet-question-paper,tiet-question-paper – A LaTeX question paper class for the TIET,"exam,class",Raghav B. Venkataramaiyer,https://www.ctan.org/pkg/tiet-question-paper,https://mirrors.ctan.org/macros/latex/contrib/tiet-question-paper/README.md,https://github.com/bvraghav/qptiet_latex-class,""
tikz-3dplot,tikz-3dplot – Coordinate transformation styles for 3d plotting in TikZ,"graphics use,pgf tikz,3d graphics",Jeffrey Hein,https://www.ctan.org/pkg/tikz-3dplot,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-3dplot/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-3dplot,""
tikz-bbox,tikz-bbox – Precise determination of bounding boxes in TikZ,"pgf tikz,graphics",marmotghost,https://www.ctan.org/pkg/tikz-bbox,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-bbox/README.txt,https://github.com/marmotghost/tikz-bbox,""
tikz-cd,tikz-cd – Create commutative diagrams with TikZ,"commutative diagrams,graphics,graphics in tex,pgf tikz",Augusto Stoffel,https://www.ctan.org/pkg/tikz-cd,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-cd/README.md,https://github.com/astoff/tikz-cd/,""
tikz-decofonts,"tikz-decofonts – Simple decoration fontes, made with TikZ, for short texts","pgf tikz,amusements,graphics",Cédric Pierquet,https://www.ctan.org/pkg/tikz-decofonts,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-decofonts/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-decofonts,""
tikz-dependency,tikz-dependency – A library for drawing dependency graphs,"pgf tikz,tree,linguistic",Daniele Pighin,https://www.ctan.org/pkg/tikz-dependency,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-dependency/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-dependency,""
tikz-dimline,tikz-dimline – Technical dimension lines using PGF/TikZ,pgf tikz,Sébastien Gross,https://www.ctan.org/pkg/tikz-dimline,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-dimline/README,https://github.com/renard/tikz-dimline,""
tikz-feynman,tikz-feynman – Feynman diagrams with TikZ,"pgf tikz,physics,use luatex",Joshua Ellis,https://www.ctan.org/pkg/tikz-feynman,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-feynman/README.md,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-feynman,""
tikz-imagelabels,tikz-imagelabels – Put labels on images using TikZ,"graphics text,graphics include,graphics,pgf tikz",Tobias Plüss,https://www.ctan.org/pkg/tikz-imagelabels,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-imagelabels/README.md,https://github.com/tcpluess/tikz-imagelabels,""
tikz-inet,tikz-inet – Draw interaction nets with TikZ,logic,Marc de Falco,https://www.ctan.org/pkg/tikz-inet,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-inet/README,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-inet,""
tikz-kalender,tikz-kalender – A LaTeX based calendar using TikZ,"pgf tikz,calendar,class",Rolf Niepraschk,https://www.ctan.org/pkg/tikz-kalender,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-kalender/README.md,https://github.com/rolfn/kalenderRN,""
tikz-karnaugh,tikz-karnaugh – Typeset Karnaugh maps using TikZ,"engineering,maths,pgf tikz",Luís Paulo Laus,https://www.ctan.org/pkg/tikz-karnaugh,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-karnaugh/README.txt,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-karnaugh,""
tikz-ladder,tikz-ladder – Draw ladder diagrams using TikZ,"diagramsm,engineeringm,circuit diagramm,pgf tikzm",Luís Paulo Laus,https://www.ctan.org/pkg/tikz-ladder,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-ladder/README.txt,https://www.ctan.org/tex-archive/graphics/pgf/contrib/tikz-ladder,""
tikz-lake-fig,tikz-lake-fig – Schematic diagrams of lakes,pgf tikz,Joseph Stachelek,https://www.ctan.org/pkg/tikz-lake-fig,https://mirrors.ctan.org/graphics/pgf/contrib/tikz-lake-fig/README.md,https://github.com/jsta/tikz-lake-fig,""
